headword	collocate_count	mismatch_count	mismatch_ratio
motiv.	100	100	1
ohio	100	100	1
africans	100	100	1
cq	100	100	1
dd	100	100	1
h0	100	100	1
gg	100	100	1
hg	100	100	1
jn	100	100	1
jw	100	100	1
lg	100	100	1
lr	100	100	1
lw	100	100	1
me	100	100	1
o.	100	100	1
mz	100	100	1
nv	100	100	1
q.	100	100	1
pv	100	100	1
pz	100	100	1
qe	100	100	1
qp	100	100	1
rb	100	100	1
tq	100	100	1
ug	100	100	1
wr	100	100	1
yl	100	100	1
questionnaires	100	100	1
lópez	100	100	1
nielsen	100	100	1
universiteit	100	100	1
kate	100	100	1
estimat	100	100	1
moore	100	100	1
miller	100	100	1
swami	100	100	1
nstim	100	100	1
rochester	100	100	1
markus	100	100	1
janssen	100	100	1
depend.	100	100	1
huang	100	100	1
percept.	100	100	1
keller	100	100	1
wiese	100	100	1
tbis	100	100	1
bock	100	100	1
learners	100	100	1
assoc.	100	100	1
psychother	100	100	1
borg	100	100	1
disabil	100	100	1
univ.	100	100	1
psicol	100	100	1
macedonia	100	100	1
gen.	100	100	1
kray	100	100	1
kuhn	100	100	1
mueller	100	100	1
gini	100	100	1
andré	100	100	1
adolesc.	100	100	1
emily	100	100	1
matthew	100	100	1
δf	100	100	1
creat	100	100	1
carr	100	100	1
brock	100	100	1
ceci	100	100	1
nathan	100	100	1
carlos	100	100	1
gonzález	100	100	1
bruner	100	100	1
carter	100	100	1
lynch	100	100	1
sofia	100	100	1
cardiff	100	100	1
lett	100	100	1
elliot	100	100	1
prog	100	100	1
liao	100	100	1
thompson	100	100	1
cort	100	100	1
palmer	100	100	1
lawrence	100	100	1
heller	100	100	1
indiv.	100	100	1
squire	100	100	1
freedman	100	100	1
granada	100	100	1
stat.	100	100	1
psychologists	100	100	1
goldman	100	100	1
aarhus	100	100	1
giuseppe	100	100	1
michel	100	100	1
jennifer	100	100	1
treat.	100	100	1
forster	100	100	1
nijmegen	100	100	1
