headword	collocate_count	mismatch_count	mismatch_ratio
baltes	100	100	1
adrian	100	100	1
borenstein	100	100	1
emmons	100	100	1
hastings	100	100	1
kristen	100	100	1
adriana	100	100	1
palgrave	100	100	1
segal	100	100	1
times	100	100	1
redmond	100	100	1
oftp	100	100	1
^world	100	100	1
rebecca	100	100	1
tecnocampus	100	100	1
ipads	100	100	1
shazam	100	100	1
^weinstein	100	100	1
^nunnally	100	100	1
^fernández	100	100	1
mail_move	100	100	1
bournemouth	100	100	1
suzanne	100	100	1
^myer	100	100	1
^buchanan	100	100	1
dumas	100	100	1
pamela	100	100	1
trent	100	100	1
meissner	100	100	1
^booth	100	100	1
zimmerman	100	100	1
^spencer	100	100	1
ohio	100	100	1
^rubin	100	100	1
fuchs	100	100	1
paola	100	100	1
berkeley	100	100	1
herman	100	100	1
africans	100	100	1
anglia	100	100	1
rabin	100	100	1
^friederici	100	100	1
rainer	100	100	1
casper	100	100	1
ackermann	100	100	1
inresearch	100	100	1
foks	100	100	1
fomo	100	100	1
h1n1	100	100	1
br	100	100	1
cq	100	100	1
dd	100	100	1
dq	100	100	1
nazzi	100	100	1
eq	100	100	1
fh	100	100	1
h0	100	100	1
fv	100	100	1
fz	100	100	1
^kraus	100	100	1
gb	100	100	1
gg	100	100	1
gq	100	100	1
fors	100	100	1
hg	100	100	1
hs	100	100	1
k.	100	100	1
crocker	100	100	1
^henry	100	100	1
jb	100	100	1
jf	100	100	1
jg	100	100	1
jn	100	100	1
foxe	100	100	1
jv	100	100	1
jw	100	100	1
jz	100	100	1
lg	100	100	1
lq	100	100	1
lr	100	100	1
lw	100	100	1
sundberg	100	100	1
me	100	100	1
o'	100	100	1
o.	100	100	1
mn	100	100	1
mz	100	100	1
oirs	100	100	1
nv	100	100	1
aronson	100	100	1
q.	100	100	1
rizzo	100	100	1
rizzi	100	100	1
pansi	100	100	1
pv	100	100	1
würzburg	100	100	1
pz	100	100	1
qb	100	100	1
qc	100	100	1
qe	100	100	1
smeets	100	100	1
qp	100	100	1
qs	100	100	1
creswell	100	100	1
rb	100	100	1
plomin	100	100	1
rooney	100	100	1
jensen	100	100	1
p×	100	100	1
^gagné	100	100	1
tg	100	100	1
tn	100	100	1
tq	100	100	1
ug	100	100	1
^hwang	100	100	1
pa_baye	100	100	1
wr	100	100	1
wz	100	100	1
yl	100	100	1
lieshout	100	100	1
yw	100	100	1
freitas	100	100	1
zs	100	100	1
zw	100	100	1
^ferreira	100	100	1
panas	100	100	1
questionnaires	100	100	1
ferrara	100	100	1
ferrari	100	100	1
ferrand	100	100	1
pfeifer	100	100	1
fprt	100	100	1
ferguson	100	100	1
^jonason	100	100	1
^fredrickson	100	100	1
yamagishi	100	100	1
^murphy	100	100	1
domenico	100	100	1
chris	100	100	1
delaney	100	100	1
middleton	100	100	1
brackett	100	100	1
padova	100	100	1
vidal	100	100	1
esteban	100	100	1
^grossman	100	100	1
fred	100	100	1
frey	100	100	1
olbi	100	100	1
seitz	100	100	1
ancovas	100	100	1
tübingen	100	100	1
semin	100	100	1
frye	100	100	1
^hobson	100	100	1
gervain	100	100	1
gennaro	100	100	1
^michel	100	100	1
swaab	100	100	1
