corpus: preloaded/doaj_en
subcorpus: -
size: 10000
query: Query:[word="we"] []? [word="aimed|wanted"] [word="to"] [tag="VV"], Random sample:10000
Reference,Sentence
Theoretical and Applied Economics | <s> Having in view the start and recent manifestation of the global agri-food crisis, we wanted to present the agri-food problems the world today has to deal with against the general background of manifestations of the agri-food crisis with planetary extension. </s> 
PLoS ONE | <s> To further investigate this hypothesis, we wanted to test if lansoprazole was able to counterbalancing the Ab42-lowering capability of R-flurbiprofen, a well characterized non-steroidal anti-inflammatory drug (NSAID) that acts as straight GSM [44,45]. </s> 
PLoS ONE | <s> Hence, we wanted to investigate other possible effects of lansoprazole on Ab production. </s> 
PLoS ONE | <s> Thus, we wanted to investigate the interaction between mCrem expression level and OHT dose for induction of mCrem mediated recombination. </s> 
PLoS ONE | <s> By grouping participants in age categories, we aimed to detect specific age-related opinions on the research topics. </s> 
Nutrients | <s> In this study, we aimed to identify specific changes in the caecal microbiota associated with colonic inflammation in these mice. </s> 
PLoS ONE | <s> Here we aimed to explore such differences. </s> 
PLoS ONE | <s> Additionally, we wanted to determine whether activity in bilateral visual regions was related to the presentation of written words in our previous study, so we presented subjects with both written and auditory words. </s> 
PLoS ONE | <s> Although these subjects were highly proficient at code switching, we wanted to examine the relative organizations of the two languages, so it was necessary to minimize the effects of attentional and language switching mechanisms. </s> 
PLoS ONE | <s> First, we wanted to determine whether motor unit size correlated with SMA pathology, thereby testing whether larger motor units were more vulnerable to SMA pathology (c.f. ALS; [16–20]). </s> 
PLoS ONE | <s> Third, we wanted to determine whether there was any correlation between the size or form of neuromuscular synapses formed by individual motor neurons and their susceptibility to SMA. </s> 
PLoS Pathogens | <s> NS2 transmembrane domain mediates E2-NS2 interaction Firstly, we wanted to evaluate the impact of our mutations on the viral life cycle. </s> 
PLoS Pathogens | <s> Thus, we wanted to investigate the NS2 PLoS Pathogens | www.plospathogens.org </s> 
PLoS ONE | <s> Knowing the frequency of FOXP3 and GITR positive cells in atherosclerotic intima, we next wanted to know the frequency of these cells in the adventitia, and under inflammatory conditions in a different tissue. </s> 
PLoS ONE | <s> Study of the Changes in miRNAs Expression during Adipogenesis in Obese and Lean Cell Lines After finding this differential expression in lean and obese cell lines, we aimed to study the miRNA expression profiles during adipogenesis. </s> 
Ecology and Society | <s> For Models 2 and 3, those two groups of household-level variables were included into the models separately because we aimed to explore whether including the variables of pasture-use strategies can significantly reduce the village-level variance. </s> 
PLoS ONE | <s> In the context of this present study, we wanted to confirm whether the transcriptional alterations of Ascl1 apply to the HPRT-deficient STHdh striatal cells. </s> 
Materials | <s> As collagen promoted proliferation on electrospun PCL, we wanted to see if it also had an effect on differentiation. </s> 
Journal of Electrical and Electronics Engineering | <s> In this first part of our work we aimed to investigate corruption that acts as a financial constraint on SMEs, decreasing their chances of growth and consolidation, affecting business and economic outlook, reducing society confidence in institutions and honest business. </s> 
International Journal of Electrochemistry | <s> In this study we aimed to establish a sensing system of BPA based on its electrochemical detection, utilizing MIP as a receptor of BPA. </s> 
BMC Palliative Care | <s> In the process of designing a new out-of-hours protocol for palliative care we wanted to analyse the experiences of GPs with the transfer of information from two perspectives: from their position as a GP caring for their terminally ill patients, and from their perspective as a locum for the GP co-operative </s> 
BMC Medical Genomics | <s> Confidence intervals were calculated with Bonferroni adjustments, since we wanted to maintain an overall confidence of 95% while considering all genes at once. </s> 
Harm Reduction Journal | <s> While very little is known about associated factors of needle and syringe sharing among Iranian IDUs [ 7 – 9 ], we here aimed to determine the prevalence and associates of needle and syringe sharing among a sample of IDUs in Iran. </s> 
Drug Design, Development and Therapy | <s> In the current study, we aimed to establish a more accurate and a practical, prognostic risk assessment scoring system by incorporating some of these clinical prognostic factors into the pTNM stage classification. </s> 
ZooKeys | <s> In addition, we wanted to elucidate the informativeness of the RpS2 gene region that Wahlberg and Wheat (2008) found informative for lepidopter- </s> 
PLoS ONE | <s> In this study we therefore aimed to determine the timing of common pathological markers of AD including Ab oligomer formation, Ab plaque load, neuronal loss, and neuroinflammation. </s> 
PLoS ONE | <s> Cages were removed when the first seedling in a caged patch was about to touch the wire mesh, as we wanted to avoid any physical interference with seedling growth. </s> 
PLoS ONE | <s> In the present study we aimed to determine whether the two SNPs P389 and P49 of b1AR are relevant in predicting AF, antiarrhythmic drug therapy and flecainide-induced cardioversion in patients with recent onset AF. </s> 
PLoS ONE | <s> In this study, we aimed to find out if the RGC degeneration in this model is accompanied by the development of </s> 
PLoS ONE | <s> To overcome these limitations, we aimed to establish a pancreas tissue slice culture platform to allow long-term studies on exocrine and endocrine cells in the intact pancreatic environment. </s> 
PLoS ONE | <s> In this study, we aimed to investigate published reports of bioequivalence trials comparing generic to brand-name drugs to assess their quality of reporting. </s> 
PLoS ONE | <s> In order to improve genome annotation, we aimed to identify novel sRNAs and sORFs in Shigella, the principal etiologic agents of bacillary dysentery. </s> 
ISRN Oncology | <s> Furthermore, we wanted to study possible imbalances regarding referral of radiotherapy patients to our MPCT. </s> 
OncoTargets and Therapy | <s> In the present study, we aimed to investigate the expression of miR-503 in HCC tissues and cell lines. </s> 
PLoS ONE | <s> Because we wanted to predict values of Nu, and ultimately hc, from other wind speeds not tested in the wind tunnel, we added a post hoc model based on the top-ranked model (Model 1, Table S2) by 1) removing two banner limb by Re interactions terms that had uninformative 95% confidence intervals that overlapped zero, and </s> 
Biogeosciences | <s> (D) In this study, besides confirming, as in Siddall et al. (2008), the role of vertical cycling in Nd oceanic distribution, we aimed to determine and quantify the different sources involved in the Nd oceanic cycle. </s> 
PLoS ONE | <s> Therefore we aimed to investigate the general lifestyle of obese individuals, heavy smokers, and obese heavy smokers to get a better understanding of the distribution of lifestyle risk factors. </s> 
PLoS ONE | <s> Owing to contradictory reports regarding whether the results of these IGRAs are affected by the age of the patient, we aimed to determine if these two tests have agerelated differences in sensitivity. </s> 
PLoS ONE | <s> In this study, we aimed to investigate the impact of patient age on the sensitivity of the two commercial IGRAs. </s> 
Spatium | <s> It was conducted between August and November 2010. • Analysis of the use of public transport among local communities and urban neighbourhoods: We surveyed primarily the population who lives in the Municipality of Celje, but we also wanted to determine whether urban transport service is used by residents of other municipalities that are migrating to Celje. </s> 
