corpus: preloaded/doaj_en
subcorpus: -
size: 20967
query: Query:[word="we"] []? [word="aimed|wanted"] [word="to"] [tag="VV"]
word,Frequency,Freq. per million
determine, 2238, 0.66807
investigate, 2177, 0.64986
evaluate, 976, 0.29135
identify, 968, 0.28896
test, 931, 0.27792
assess, 916, 0.27344
examine, 798, 0.23821
explore, 619, 0.18478
know, 515, 0.15373
compare, 473, 0.14120
study, 430, 0.12836
analyze, 325, 0.09702
see, 312, 0.09314
develop, 297, 0.08866
find, 276, 0.08239
confirm, 261, 0.07791
establish, 254, 0.07582
elucidate, 228, 0.06806
characterize, 224, 0.06687
address, 223, 0.06657
use, 218, 0.06508
understand, 217, 0.06478
provide, 172, 0.05134
verify, 166, 0.04955
clarify, 162, 0.04836
avoid, 147, 0.04388
ensure, 142, 0.04239
show, 140, 0.04179
demonstrate, 136, 0.04060
include, 135, 0.04030
make, 129, 0.03851
obtain, 125, 0.03731
measure, 118, 0.03522
describe, 118, 0.03522
estimate, 109, 0.03254
quantify, 103, 0.03075
check, 103, 0.03075
define, 91, 0.02716
focus, 88, 0.02627
ascertain, 84, 0.02508
gain, 80, 0.02388
detect, 79, 0.02358
present, 79, 0.02358
answer, 74, 0.02209
validate, 73, 0.02179
exclude, 73, 0.02179
improve, 70, 0.02090
replicate, 68, 0.02030
perform, 67, 0.02000
reduce, 67, 0.02000
create, 66, 0.01970
analyse, 58, 0.01731
generate, 56, 0.01672
recruit, 56, 0.01672
isolate, 55, 0.01642
rule, 55, 0.01642
keep, 54, 0.01612
extend, 53, 0.01582
get, 52, 0.01552
minimize, 49, 0.01463
capture, 48, 0.01433
highlight, 47, 0.01403
increase, 47, 0.01403
achieve, 47, 0.01403
observe, 45, 0.01343
review, 44, 0.01313
reveal, 41, 0.01224
emphasize, 41, 0.01224
select, 40, 0.01194
conduct, 40, 0.01194
produce, 40, 0.01194
take, 39, 0.01164
look, 39, 0.01164
design, 39, 0.01164
collect, 37, 0.01105
control, 36, 0.01075
report, 36, 0.01075
prove, 36, 0.01075
discover, 35, 0.01045
give, 32, 0.00955
do, 32, 0.00955
simulate, 32, 0.00955
delineate, 31, 0.00925
characterise, 30, 0.00896
distinguish, 28, 0.00836
maximize, 28, 0.00836
eliminate, 27, 0.00806
expand, 26, 0.00776
build, 26, 0.00776
apply, 26, 0.00776
discuss, 25, 0.00746
calculate, 25, 0.00746
illustrate, 24, 0.00716
monitor, 24, 0.00716
consider, 24, 0.00716
predict, 24, 0.00716
mimic, 24, 0.00716
reproduce, 23, 0.00687
learn, 23, 0.00687
uncover, 23, 0.00687
model, 22, 0.00657
synthesize, 22, 0.00657
derive, 21, 0.00627
go, 21, 0.00627
correlate, 21, 0.00627
optimize, 20, 0.00597
summarize, 20, 0.00597
unravel, 20, 0.00597
maintain, 20, 0.00597
document, 19, 0.00567
ask, 19, 0.00567
search, 19, 0.00567
shed, 19, 0.00567
separate, 19, 0.00567
introduce, 19, 0.00567
sample, 18, 0.00537
construct, 18, 0.00537
differentiate, 18, 0.00537
decipher, 18, 0.00537
limit, 18, 0.00537
draw, 17, 0.00507
represent, 17, 0.00507
enhance, 17, 0.00507
utilize, 17, 0.00507
contribute, 17, 0.00507
combine, 16, 0.00478
induce, 16, 0.00478
dissect, 16, 0.00478
gather, 16, 0.00478
follow, 16, 0.00478
relate, 16, 0.00478
screen, 16, 0.00478
target, 16, 0.00478
account, 15, 0.00448
set, 15, 0.00448
cover, 15, 0.00448
retain, 15, 0.00448
prepare, 15, 0.00448
classify, 14, 0.00418
try, 14, 0.00418
map, 14, 0.00418
corroborate, 14, 0.00418
probe, 13, 0.00388
exploit, 13, 0.00388
point, 13, 0.00388
disentangle, 13, 0.00388
reconstruct, 13, 0.00388
stress, 13, 0.00388
preserve, 13, 0.00388
explain, 12, 0.00358
enroll, 12, 0.00358
fill, 12, 0.00358
advance, 12, 0.00358
overcome, 12, 0.00358
restrict, 12, 0.00358
remove, 12, 0.00358
survey, 12, 0.00358
prevent, 12, 0.00358
add, 11, 0.00328
extract, 11, 0.00328
decrease, 11, 0.00328
resolve, 10, 0.00299
start, 10, 0.00299
concentrate, 10, 0.00299
put, 10, 0.00299
bring, 10, 0.00299
integrate, 10, 0.00299
visualize, 10, 0.00299
incorporate, 10, 0.00299
help, 10, 0.00299
inhibit, 10, 0.00299
discriminate, 10, 0.00299
match, 10, 0.00299
choose, 9, 0.00269
propose, 9, 0.00269
share, 9, 0.00269
discern, 9, 0.00269
continue, 9, 0.00269
interview, 9, 0.00269
repeat, 8, 0.00239
locate, 8, 0.00239
support, 8, 0.00239
reach, 8, 0.00239
allow, 8, 0.00239
elicit, 8, 0.00239
leave, 8, 0.00239
enrich, 8, 0.00239
profile, 8, 0.00239
reflect, 8, 0.00239
infer, 8, 0.00239
narrow, 7, 0.00209
deliver, 7, 0.00209
inform, 7, 0.00209
assign, 7, 0.00209
undertake, 7, 0.00209
update, 7, 0.00209
employ, 7, 0.00209
figure, 7, 0.00209
correct, 7, 0.00209
raise, 7, 0.00209
change, 7, 0.00209
move, 7, 0.00209
localize, 7, 0.00209
record, 7, 0.00209
express, 7, 0.00209
expose, 7, 0.00209
solve, 7, 0.00209
accomplish, 7, 0.00209
guarantee, 6, 0.00179
offer, 6, 0.00179
complement, 6, 0.00179
carry, 6, 0.00179
assay, 6, 0.00179
adjust, 6, 0.00179
broaden, 6, 0.00179
stay, 6, 0.00179
modify, 6, 0.00179
display, 6, 0.00179
hear, 6, 0.00179
tackle, 5, 0.00149
assure, 5, 0.00149
facilitate, 5, 0.00149
approach, 5, 0.00149
engineer, 5, 0.00149
fabricate, 5, 0.00149
associate, 5, 0.00149
compute, 5, 0.00149
minimise, 5, 0.00149
implement, 5, 0.00149
convey, 5, 0.00149
unveil, 5, 0.00149
recapitulate, 5, 0.00149
adapt, 5, 0.00149
maximise, 5, 0.00149
link, 5, 0.00149
refine, 5, 0.00149
begin, 5, 0.00149
balance, 5, 0.00149
scrutinize, 5, 0.00149
illuminate, 4, 0.00119
encourage, 4, 0.00119
standardize, 4, 0.00119
convert, 4, 0.00119
transfer, 4, 0.00119
challenge, 4, 0.00119
knock, 4, 0.00119
research, 4, 0.00119
recover, 4, 0.00119
question, 4, 0.00119
modulate, 4, 0.00119
retrieve, 4, 0.00119
rescue, 4, 0.00119
insure, 4, 0.00119
assemble, 4, 0.00119
further, 4, 0.00119
initiate, 4, 0.00119
strengthen, 4, 0.00119
train, 4, 0.00119
disrupt, 4, 0.00119
inspect, 4, 0.00119
promote, 4, 0.00119
base, 4, 0.00119
deepen, 4, 0.00119
indicate, 4, 0.00119
contrast, 4, 0.00119
generalize, 4, 0.00119
disclose, 4, 0.00119
speak, 3, 0.00090
dissociate, 3, 0.00090
attract, 3, 0.00090
qualify, 3, 0.00090
purify, 3, 0.00090
realize, 3, 0.00090
elaborate, 3, 0.00090
decompose, 3, 0.00090
interfere, 3, 0.00090
pinpoint, 3, 0.00090
secure, 3, 0.00090
fit, 3, 0.00090
talk, 3, 0.00090
foster, 3, 0.00090
receive, 3, 0.00090
connect, 3, 0.00090
silence, 3, 0.00090
attempt, 3, 0.00090
count, 3, 0.00090
categorize, 3, 0.00090
track, 3, 0.00090
say, 3, 0.00090
compile, 3, 0.00090
teach, 3, 0.00090
partition, 3, 0.00090
recreate, 3, 0.00090
replace, 3, 0.00090
come, 3, 0.00090
